liking_mean,liking_sem,stim_type,Level
56.79,1.61,Global Average,1
52.47,1.61,Global Average,2
50.01,1.61,Global Average,3
48.48,1.61,Global Average,4
56.38,1.29,Local Average,1
52.26,1.29,Local Average,2
53.72,1.29,Local Average,3
53.4,1.29,Local Average,4
50.97,1.29,Unshown Exemplar,1
51.05,1.29,Unshown Exemplar,2
52.54,1.29,Unshown Exemplar,3
50.72,1.26,Unshown Exemplar,4
