liking_mean,liking_sem,stim_type,Level
55.79,2.108,Global Average,1
51.76,2.108,Global Average,2
51.58,2.108,Global Average,3
45.28,2.108,Global Average,4
56.21,1.71,Local Average,1
54.84,1.71,Local Average,2
54.46,1.71,Local Average,3
53.65,1.71,Local Average,4
48.99,1.71,Unshown Exemplar,1
49.7,1.71,Unshown Exemplar,2
51.82,1.71,Unshown Exemplar,3
51.47,1.71,Unshown Exemplar,4
